id,case_number,sr_location,city,state,zip,latitude,longitude
24165140,101003931798,"6402 WOODLAND TRAILS, HOUSTON 77088",HOUSTON,TX,77088,,
24165129,101003931775,"7710 CATALINA, HOUSTON 77075",HOUSTON,TX,77075,,
24166802,101003936173,"9822 CANOGA, HOUSTON 77080",HOUSTON,TX,77080,,
24201430,101003931798,"6402 WOODLAND TRAILS, HOUSTON 77088",HOUSTON,TX,77088,,
24201419,101003931775,"7710 CATALINA, HOUSTON 77075",HOUSTON,TX,77075,,
24202446,101003934505,"818 HURLEY, HOUSTON 77022",HOUSTON,TX,77022,,
24203092,101003936173,"9822 CANOGA, HOUSTON 77080",HOUSTON,TX,77080,,
23874352,101003908703,"6613 HOMESTEAD, HOUSTON 77028",HOUSTON,TX,77028,,
23874689,101003919551,"15019 SUN HARBOR, HOUSTON 77062",HOUSTON,TX,77062,,
23875949,101003923298,"6708 CONLEY, HOUSTON 77021",HOUSTON,TX,77077,,
23871386,101003890899,"4815 RUSK, HOUSTON 77023",HOUSTON,TX,77023,,
24166124,101003934447,"5918 GOLDEN FOREST, HOUSTON 77092",HOUSTON ,TX,77092,,
24166624,101003935476,"5518 HIALEAH, HOUSTON 77092",HOUSTON,TX,77092,,
24183065,101003861239,"6520 SIDNEY, HOUSTON TX 77021",HOUSTON,TX,77021,,
24184872,101003866302,"8522 ANACORTES, HOUSTON TX 77061",HOUSTON,TX,77061,,
24185513,101003868024,"10102 VICTORIA CHASE, HOUSTON TX 77075",HOUSTON,TX,77075,,
24187115,101003873166,"7714 SOUTHERN, HOUSTON TX 77087",HOUSTON,TX,77087,,
24196431,101003908703,"6613 HOMESTEAD, HOUSTON 77028",HOUSTON,TX,77028,,
24196768,101003919551,"15019 SUN HARBOR, HOUSTON 77062",HOUSTON,TX,77062,,
24198028,101003923298,"6708 CONLEY, HOUSTON 77021",HOUSTON,TX,77077,,
24200438,101003929609,"4614 LINCOLNSHIRE, HOUSTON 77048",HOUSTON,TX,77048,,
24202414,101003934447,"5918 GOLDEN FOREST, HOUSTON 77092",HOUSTON ,TX,77092,,
24202914,101003935476,"5518 HIALEAH, HOUSTON 77092",HOUSTON,TX,77092,,
24193465,101003890899,"4815 RUSK, HOUSTON 77023",HOUSTON,TX,77023,,
24219355,101003861239,"6520 SIDNEY, HOUSTON TX 77021",HOUSTON,TX,77021,,
24221162,101003866302,"8522 ANACORTES, HOUSTON TX 77061",HOUSTON,TX,77061,,
24223405,101003873166,"7714 SOUTHERN, HOUSTON TX 77087",HOUSTON,TX,77087,,
